Contig	Start	End	Strand	Pos
NC_020198.1	171	830	-1	1
NC_020198.1	1071	1427	1	2
NC_020198.1	1430	1864	1	3
NC_020198.1	1864	2190	1	4
NC_020198.1	2187	2597	1	5
NC_020198.1	2590	4659	1	6
NC_020198.1	4674	5426	1	7
NC_020198.1	5423	6088	1	8
NC_020198.1	6160	6795	1	9
NC_020198.1	6780	6896	1	10
NC_020198.1	6896	7309	1	11
NC_020198.1	7272	7583	1	12
NC_020198.1	7600	8118	1	13
NC_020198.1	8118	8321	1	14
NC_020198.1	8323	8631	1	15
NC_020198.1	8634	8915	1	16
NC_020198.1	8899	9123	1	17
NC_020198.1	9126	9395	1	18
NC_020198.1	9466	9762	1	19
NC_020198.1	9759	10166	1	20
NC_020198.1	10153	10602	1	21
NC_020198.1	10705	11052	1	22
NC_020198.1	10997	11467	1	23
NC_020198.1	11467	11883	1	24
NC_020198.1	11883	12002	1	25
NC_020198.1	11999	12400	1	26
NC_020198.1	12511	12699	1	27
NC_020198.1	12707	13207	1	28
NC_020198.1	13213	13707	-1	29
NC_020198.1	13739	15391	1	30
NC_020198.1	15401	16981	1	31
NC_020198.1	16981	18267	1	32
NC_020198.1	18267	18734	1	33
NC_020198.1	18845	19081	1	34
NC_020198.1	19068	19292	1	35
NC_020198.1	19508	20605	1	36
NC_020198.1	20609	21523	1	37
NC_020198.1	21590	21931	1	38
NC_020198.1	21931	22098	1	39
NC_020198.1	22095	22511	1	40
NC_020198.1	22508	22981	1	41
NC_020198.1	22969	23148	1	42
NC_020198.1	23181	23951	1	43
NC_020198.1	23973	24449	1	44
NC_020198.1	24598	28074	1	45
NC_020198.1	28082	29038	1	46
NC_020198.1	29040	29963	1	47
NC_020198.1	29963	31666	1	48
NC_020198.1	31656	32477	1	49
NC_020198.1	32485	32715	1	50
NC_020198.1	32712	32930	1	51
NC_020198.1	32920	35127	1	52
NC_020198.1	35124	36272	1	53
NC_020198.1	36272	36556	1	54
NC_020198.1	36635	36859	1	55
